Device,Completed,Start,End,PG0Dis,PG0Shown,PG0Submit,PG1PsnUse,PG1WdAuth,PG1Trn,PG1Other,PG1Submit,PG2Resp,PG2Submit,PG2Resp,PG3Submit,PG4Dtr0_6,PG4Psv7_8,PG4Prm9_10,PG4AllResp,PG4Submit,PG5_1RRPQ,PG5_1Order,PG5_1Time,PG5_2BNUI,PG5_2Order,PG5_2Time,PG5_3HDS,PG5_3Order,PG5_3Time,PG5_4VGP,PG5_4Order,PG5_4Time,PG5_5PHR,PG5_5Order,PG5_5Time,PG5_6SSYOP,PG5_6Order,PG5_6Time,PG5_7NDYP,PG5_7Order,PG5_7Time,PG5_8CP,PG5_8Order,PG5_8Time,PG5_9FRP,PG5_9Order,PG5_9Time,PG5_10RPA,PG5_10Order,PG5_10Time,PG5_11NSG,PG5_11Order,PG5_11Time,PG5_12NWG,PG5_12Order,PG5_12Time,PG5_13NFG,PG5_13Order,PG5_13Time,PG5Submit,PG6Resp,PG6Submit,PG7R,PG7C/C++,PG7Java,PG7Python,PG7Javascript,PG7Go,PG7C#,PG7Other,PG7Submit,PG8Resp,PG8Submit,PG9Resp,PG9Submit,PG10Resp,PG10Submit,PG11Resp,PG11Submit,PG12Resp,PG12Submit
Phone,TRUE,2018-10-11 13:32:57,2018-10-11 13:36:24,24,168,2018-10-11 13:33:10,,"For a wider audience, such as developers of other packages or other software",,,2018-10-11 13:33:41,No,2018-10-11 13:33:58,Chose the package to be compatible with other packages in my project,2018-10-11 13:34:14,,,10,10,2018-10-11 13:34:20,Medium Priority,8,2018-10-11 13:35:09,Not a Priority,13,2018-10-11 13:35:22,Medium Priority,7,2018-10-11 13:35:04,Not a Priority,9,2018-10-11 13:35:11,Essential,5,2018-10-11 13:34:58,Not a Priority,3,2018-10-11 13:34:51,Not a Priority,4,2018-10-11 13:34:53,Essential,11,2018-10-11 13:35:17,Essential,2,2018-10-11 13:34:47,Essential,1,2018-10-11 13:34:43,Not a Priority,10,2018-10-11 13:35:13,Not a Priority,12,2018-10-11 13:35:19,Not a Priority,6,2018-10-11 13:35:00,2018-10-11 13:35:22,9 - 12 years,2018-10-11 13:35:36,R,,,,,,,,2018-10-11 13:35:42,Professor,2018-10-11 13:35:58,2 - 3,2018-10-11 13:36:07,Native,2018-10-11 13:36:14,Male,2018-10-11 13:36:18,35 - 44,2018-10-11 13:36:23
Phone,TRUE,2018-10-11 13:33:10,2018-10-11 13:36:04,168,169,2018-10-11 13:33:19,For personal work and/or research use,,,,2018-10-11 13:33:35,Yes,2018-10-11 13:33:47,Chose the package to be compatible with other packages in my project,2018-10-11 13:34:06,,,10,10,2018-10-11 13:34:12,Not a Priority,10,2018-10-11 13:34:56,Not a Priority,6,2018-10-11 13:34:43,Medium Priority,14,2018-10-11 13:35:11,Medium Priority,2,2018-10-11 13:34:34,High Priority,12,2018-10-11 13:35:09,Not a Priority,8,2018-10-11 13:34:52,Not a Priority,7,2018-10-11 13:34:46,Medium Priority,3,2018-10-11 13:34:37,High Priority,1,2018-10-11 13:34:26,High Priority,11,2018-10-11 13:35:06,Low Priority,4,2018-10-11 13:34:39,Not a Priority,5,2018-10-11 13:34:41,Not a Priority,9,2018-10-11 13:34:54,2018-10-11 13:35:12,Less than 2 years,2018-10-11 13:35:19,R,,,,,,,,2018-10-11 13:35:28,Data Scientist,2018-10-11 13:35:32,2 - 3,2018-10-11 13:35:43,Not native - full working proficiency,2018-10-11 13:35:51,Male,2018-10-11 13:35:57,25 - 34,2018-10-11 13:36:03
PC,TRUE,2018-10-11 13:33:24,2018-10-11 13:36:23,1,170,2018-10-11 13:33:35,For personal work and/or research use,"For a wider audience, such as developers of other packages or other software",,,2018-10-11 13:33:57,Yes,2018-10-11 13:34:08,I saw a recommendation for the package,2018-10-11 13:34:25,,,10,10,2018-10-11 13:34:30,Medium Priority,14,2018-10-11 13:35:34,Medium Priority,12,2018-10-11 13:35:29,High Priority,11,2018-10-11 13:35:25,High Priority,3,2018-10-11 13:35:03,High Priority,6,2018-10-11 13:35:11,Low Priority,7,2018-10-11 13:35:14,Low Priority,2,2018-10-11 13:34:58,Medium Priority,13,2018-10-11 13:35:32,High Priority,10,2018-10-11 13:35:23,High Priority,5,2018-10-11 13:35:07,Low Priority,9,2018-10-11 13:35:19,Low Priority,8,2018-10-11 13:35:16,Low Priority,1,2018-10-11 13:34:55,2018-10-11 13:35:34,Less than 2 years,2018-10-11 13:35:39,R,,,,,,,,2018-10-11 13:35:47,Data Scientist,2018-10-11 13:35:54,4 - 6,2018-10-11 13:36:06,Native,2018-10-11 13:36:12,Male,2018-10-11 13:36:17,25 - 34,2018-10-11 13:36:21
PC,TRUE,2018-10-11 13:33:27,2018-10-11 13:37:15,0,0,2018-10-11 13:33:37,For personal work and/or research use,,,,2018-10-11 13:33:49,Yes,2018-10-11 13:34:00,Chose the package to be compatible with other packages in my project,2018-10-11 13:34:18,,,10,10,2018-10-11 13:34:24,,,,Low Priority,5,2018-10-11 13:36:24,,,,Medium Priority,3,2018-10-11 13:35:22,,,,,,,,,,,,,Essential,2,2018-10-11 13:35:13,,,,,,,,,,Not a Priority,4,2018-10-11 13:36:20,2018-10-11 13:36:24,2 - 5 years,2018-10-11 13:36:31,R,,,,,,,,2018-10-11 13:36:35,Research analyst,2018-10-11 13:36:53,4 - 6,2018-10-11 13:36:59,Native,2018-10-11 13:37:03,Female,2018-10-11 13:37:09,25 - 34,2018-10-11 13:37:13
PC,TRUE,2018-10-11 13:33:28,2018-10-11 13:38:28,1,172,2018-10-11 13:33:37,For personal work and/or research use,,,,2018-10-11 13:33:47,No,2018-10-11 13:34:16,I saw a recommendation for the package,2018-10-11 13:34:36,,,10,10,2018-10-11 13:34:46,Medium Priority,16,2018-10-11 13:36:50,Medium Priority,17,2018-10-11 13:36:51,Essential,5,2018-10-11 13:35:59,Essential,7,2018-10-11 13:36:03,Essential,8,2018-10-11 13:36:07,High Priority,10,2018-10-11 13:36:25,Not a Priority,3,2018-10-11 13:35:52,High Priority,9,2018-10-11 13:36:22,Essential,6,2018-10-11 13:36:01,Medium Priority,15,2018-10-11 13:36:46,Not a Priority,4,2018-10-11 13:35:54,Not a Priority,2,2018-10-11 13:35:45,Not a Priority,1,2018-10-11 13:35:39,2018-10-11 13:36:52,2 - 5 years,2018-10-11 13:37:37,R,,,,,,,,2018-10-11 13:37:42,Data Scientist,2018-10-11 13:37:48,1,2018-10-11 13:38:08,Not native - full working proficiency,2018-10-11 13:38:16,Female,2018-10-11 13:38:23,35 - 44,2018-10-11 13:38:27
PC,FALSE,2018-10-11 13:33:30,,168,173,2018-10-11 13:36:44,,,,,2018-10-11 13:36:45,,2018-10-11 13:36:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,FALSE,2018-10-11 13:33:32,,24,174,2018-10-11 13:33:38,For personal work and/or research use,,,,2018-10-11 13:33:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone,FALSE,2018-10-11 13:34:05,,24,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,FALSE,2018-10-11 13:34:08,,1,176,2018-10-11 13:34:11,,,,,2018-10-11 13:34:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,TRUE,2018-10-11 13:34:20,2018-10-11 13:37:58,1,177,2018-10-11 13:34:44,For personal work and/or research use,,,,2018-10-11 13:34:58,No,2018-10-11 13:35:07,I saw a recommendation for the package,2018-10-11 13:35:26,,7,,7,2018-10-11 13:35:37,Not a Priority,11,2018-10-11 13:36:46,Not a Priority,4,2018-10-11 13:36:27,Not a Priority,8,2018-10-11 13:36:39,Not a Priority,9,2018-10-11 13:36:42,Low Priority,7,2018-10-11 13:36:38,Medium Priority,5,2018-10-11 13:36:32,Not a Priority,13,2018-10-11 13:36:51,Not a Priority,3,2018-10-11 13:36:23,Essential,1,2018-10-11 13:36:10,High Priority,2,2018-10-11 13:36:18,Not a Priority,12,2018-10-11 13:36:48,Not a Priority,6,2018-10-11 13:36:35,Not a Priority,10,2018-10-11 13:36:44,2018-10-11 13:36:53,13 - 19 years,2018-10-11 13:37:02,R,,Java,Python,,Go,,,2018-10-11 13:37:14,Data Scientist,2018-10-11 13:37:20,16 - 25,2018-10-11 13:37:31,Not native - full working proficiency,2018-10-11 13:37:44,Male,2018-10-11 13:37:50,35 - 44,2018-10-11 13:37:56
Phone,TRUE,2018-10-11 13:34:20,2018-10-11 13:37:56,1,178,2018-10-11 13:34:27,For personal work and/or research use,,,,2018-10-11 13:34:43,Yes,2018-10-11 13:34:57,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:35:24,6,,,6,2018-10-11 13:35:34,,,,Medium Priority,2,2018-10-11 13:35:52,,,,,,,Low Priority,5,2018-10-11 13:36:19,High Priority,7,2018-10-11 13:36:34,,,,,,,,,,High Priority,6,2018-10-11 13:36:29,High Priority,1,2018-10-11 13:35:48,Low Priority,4,2018-10-11 13:35:59,Not a Priority,3,2018-10-11 13:35:56,2018-10-11 13:36:34,2 - 5 years,2018-10-11 13:36:53,R,,,Python,Javascript,,,,2018-10-11 13:37:05,Student,2018-10-11 13:37:19,4 - 6,2018-10-11 13:37:28,Not native - full working proficiency,2018-10-11 13:37:44,Male,2018-10-11 13:37:49,25 - 34,2018-10-11 13:37:54
PC,TRUE,2018-10-11 13:34:22,2018-10-11 13:38:54,168,179,2018-10-11 13:34:25,For personal work and/or research use,"For a wider audience, such as developers of other packages or other software",,,2018-10-11 13:35:09,Yes,2018-10-11 13:35:52,"I don't remember, the project you have picked is an extremely bad example.",2018-10-11 13:37:01,,,10,10,2018-10-11 13:37:05,High Priority,8,2018-10-11 13:37:58,,,,Essential,2,2018-10-11 13:37:29,,,,Essential,3,2018-10-11 13:37:33,Medium Priority,6,2018-10-11 13:37:50,,,,Medium Priority,4,2018-10-11 13:37:37,Essential,1,2018-10-11 13:37:23,High Priority,5,2018-10-11 13:37:47,,,,,,,,,,2018-10-11 13:38:10,13 - 19 years,2018-10-11 13:38:22,R,C/C++,,,,,,,2018-10-11 13:38:29,Software Engineer,2018-10-11 13:38:33,More than 25,2018-10-11 13:38:37,Native,2018-10-11 13:38:43,Male,2018-10-11 13:38:47,35 - 44,2018-10-11 13:38:53
PC,TRUE,2018-10-11 13:34:25,2018-10-11 13:36:40,24,180,2018-10-11 13:34:28,For personal work and/or research use,,,,2018-10-11 13:34:36,No,2018-10-11 13:34:53,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:35:11,,8,,8,2018-10-11 13:35:16,Not a Priority,7,2018-10-11 13:35:54,Not a Priority,12,2018-10-11 13:36:05,Low Priority,9,2018-10-11 13:35:57,Not a Priority,1,2018-10-11 13:35:41,Not a Priority,6,2018-10-11 13:35:52,Not a Priority,2,2018-10-11 13:35:43,Not a Priority,11,2018-10-11 13:36:03,Not a Priority,4,2018-10-11 13:35:48,Medium Priority,3,2018-10-11 13:35:45,Not a Priority,10,2018-10-11 13:36:02,Not a Priority,5,2018-10-11 13:35:50,Not a Priority,13,2018-10-11 13:36:07,Not a Priority,8,2018-10-11 13:35:55,2018-10-11 13:36:07,2 - 5 years,2018-10-11 13:36:12,R,,,,,,,,2018-10-11 13:36:16,Data Scientist,2018-10-11 13:36:21,2 - 3,2018-10-11 13:36:28,Native,2018-10-11 13:36:32,Male,2018-10-11 13:36:36,25 - 34,2018-10-11 13:36:39
PC,TRUE,2018-10-11 13:34:26,2018-10-11 13:40:04,168,181,2018-10-11 13:34:55,For personal work and/or research use,,,,2018-10-11 13:35:24,No,2018-10-11 13:35:59,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:36:19,5,,,5,2018-10-11 13:36:29,Medium Priority,5,2018-10-11 13:37:25,Low Priority,8,2018-10-11 13:37:50,Medium Priority,2,2018-10-11 13:37:08,Medium Priority,12,2018-10-11 13:38:11,Low Priority,4,2018-10-11 13:37:16,High Priority,6,2018-10-11 13:37:33,Low Priority,11,2018-10-11 13:38:08,Essential,14,2018-10-11 13:38:16,High Priority,10,2018-10-11 13:38:04,Not a Priority,9,2018-10-11 13:37:55,Low Priority,3,2018-10-11 13:37:11,Not a Priority,7,2018-10-11 13:37:40,Not a Priority,1,2018-10-11 13:36:57,2018-10-11 13:38:18,2 - 5 years,2018-10-11 13:38:30,Perl,,,,,,,Other,2018-10-11 13:38:42,Bioinformatist,2018-10-11 13:39:23,2 - 3,2018-10-11 13:39:41,Not native - sufficient working proficiency,2018-10-11 13:39:52,Male,2018-10-11 13:39:58,25 - 34,2018-10-11 13:40:03
Tablet,TRUE,2018-10-11 13:34:28,2018-10-11 13:39:01,1,182,2018-10-11 13:35:21,For personal work and/or research use,,,,2018-10-11 13:36:42,Not sure,2018-10-11 13:36:52,Chose the package to be compatible with other packages in my project,2018-10-11 13:37:12,,,9,9,2018-10-11 13:37:19,Not a Priority,5,2018-10-11 13:38:02,Not a Priority,7,2018-10-11 13:38:07,Medium Priority,6,2018-10-11 13:38:06,Low Priority,13,2018-10-11 13:38:23,High Priority,2,2018-10-11 13:37:51,Not a Priority,9,2018-10-11 13:38:11,Not a Priority,4,2018-10-11 13:37:59,Medium Priority,12,2018-10-11 13:38:19,High Priority,10,2018-10-11 13:38:13,High Priority,1,2018-10-11 13:37:48,Not a Priority,8,2018-10-11 13:38:09,Not a Priority,3,2018-10-11 13:37:57,Not a Priority,11,2018-10-11 13:38:15,2018-10-11 13:38:25,Less than 2 years,2018-10-11 13:38:30,R,,,Python,,,,,2018-10-11 13:38:35,Data Scientist,2018-10-11 13:38:40,1,2018-10-11 13:38:47,Native,2018-10-11 13:38:53,Female,2018-10-11 13:38:57,25 - 34,2018-10-11 13:39:00
Phone,FALSE,2018-10-11 13:34:30,,168,183,2018-10-11 13:34:40,,"For a wider audience, such as developers of other packages or other software",,,2018-10-11 13:34:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone,TRUE,2018-10-11 13:34:34,2018-10-11 13:37:40,168,184,2018-10-11 13:34:37,For personal work and/or research use,,,,2018-10-11 13:34:47,Not sure,2018-10-11 13:34:56,Ease of use,2018-10-11 13:35:18,,8,,8,2018-10-11 13:35:24,Not a Priority,5,2018-10-11 13:35:46,Not a Priority,9,2018-10-11 13:35:55,Medium Priority,4,2018-10-11 13:35:44,Low Priority,1,2018-10-11 13:35:36,Low Priority,15,2018-10-11 13:36:09,Not a Priority,2,2018-10-11 13:35:39,Not a Priority,8,2018-10-11 13:35:53,Medium Priority,11,2018-10-11 13:35:59,High Priority,13,2018-10-11 13:36:04,High Priority,6,2018-10-11 13:35:48,Not a Priority,7,2018-10-11 13:35:51,Not a Priority,3,2018-10-11 13:35:41,Not a Priority,10,2018-10-11 13:35:56,2018-10-11 13:36:09,2 - 5 years,2018-10-11 13:36:15,R,,,,,,,,2018-10-11 13:37:07,Data analyst,2018-10-11 13:37:16,4 - 6,2018-10-11 13:37:26,Native,2018-10-11 13:37:31,Male,2018-10-11 13:37:35,25 - 34,2018-10-11 13:37:38
Phone,FALSE,2018-10-11 13:34:40,,1,185,2018-10-11 13:34:46,,,For a training / class that I took,,2018-10-11 13:34:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone,TRUE,2018-10-11 13:34:54,2018-10-11 13:39:17,168,186,2018-10-11 13:35:09,For personal work and/or research use,"For a wider audience, such as developers of other packages or other software",,,2018-10-11 13:35:28,No,2018-10-11 13:35:41,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:36:11,5,,,5,2018-10-11 13:36:23,Not a Priority,11,2018-10-11 13:38:05,High Priority,5,2018-10-11 13:37:44,Medium Priority,10,2018-10-11 13:38:01,Low Priority,4,2018-10-11 13:37:39,High Priority,13,2018-10-11 13:38:12,Essential,12,2018-10-11 13:38:08,Not a Priority,6,2018-10-11 13:37:48,Essential,2,2018-10-11 13:37:00,Not a Priority,7,2018-10-11 13:37:51,Essential,3,2018-10-11 13:37:04,Not a Priority,8,2018-10-11 13:37:53,Not a Priority,9,2018-10-11 13:37:56,Medium Priority,1,2018-10-11 13:36:56,2018-10-11 13:38:12,Less than 2 years,2018-10-11 13:38:26,R,,,,,,,,2018-10-11 13:38:35,Data Scientist,2018-10-11 13:38:40,2 - 3,2018-10-11 13:38:53,Not native - full working proficiency,2018-10-11 13:39:03,Male,2018-10-11 13:39:09,25 - 34,2018-10-11 13:39:16
Phone,FALSE,2018-10-11 13:34:54,,0,0,2018-10-11 13:34:58,For personal work and/or research use,"For a wider audience, such as developers of other packages or other software",,,2018-10-11 13:35:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone,FALSE,2018-10-11 13:35:05,,24,188,2018-10-11 13:35:19,For personal work and/or research use,,,,2018-10-11 13:35:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,TRUE,2018-10-11 13:35:09,2018-10-11 13:38:52,24,189,2018-10-11 13:35:21,For personal work and/or research use,,,,2018-10-11 13:35:34,No,2018-10-11 13:36:09,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:36:39,,,10,10,2018-10-11 13:36:51,Essential,1,2018-10-11 13:37:20,Low Priority,13,2018-10-11 13:37:52,Low Priority,9,2018-10-11 13:37:43,Not a Priority,10,2018-10-11 13:37:45,Not a Priority,8,2018-10-11 13:37:39,Not a Priority,6,2018-10-11 13:37:34,Not a Priority,5,2018-10-11 13:37:30,High Priority,2,2018-10-11 13:37:22,Medium Priority,4,2018-10-11 13:37:26,Not a Priority,3,2018-10-11 13:37:24,Not a Priority,7,2018-10-11 13:37:37,Not a Priority,11,2018-10-11 13:37:46,Not a Priority,12,2018-10-11 13:37:49,2018-10-11 13:37:54,2 - 5 years,2018-10-11 13:38:10,R,,,,,,,,2018-10-11 13:38:15,PhD Student,2018-10-11 13:38:23,4 - 6,2018-10-11 13:38:33,Not native - full working proficiency,2018-10-11 13:38:41,Male,2018-10-11 13:38:46,25 - 34,2018-10-11 13:38:50
Tablet,TRUE,2018-10-11 13:35:24,2018-10-11 13:37:56,24,190,2018-10-11 13:35:31,For personal work and/or research use,,,,2018-10-11 13:35:40,No,2018-10-11 13:35:52,Chose the package to be compatible with other packages in my project,2018-10-11 13:36:05,,,10,10,2018-10-11 13:36:12,,,,,,,High Priority,6,2018-10-11 13:37:05,,,,Medium Priority,3,2018-10-11 13:36:44,,,,,,,Medium Priority,4,2018-10-11 13:37:00,Essential,1,2018-10-11 13:36:35,High Priority,2,2018-10-11 13:36:40,,,,,,,,,,2018-10-11 13:37:08,Less than 2 years,2018-10-11 13:37:18,R,,,,,,,,2018-10-11 13:37:23,Data Scientist,2018-10-11 13:37:29,1,2018-10-11 13:37:40,Native,2018-10-11 13:37:46,Male,2018-10-11 13:37:50,25 - 34,2018-10-11 13:37:54
PC,TRUE,2018-10-11 13:35:38,2018-10-11 13:40:46,168,191,2018-10-11 13:35:49,For personal work and/or research use,,,,2018-10-11 13:36:03,Not sure,2018-10-11 13:36:14,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:38:42,,8,,8,2018-10-11 13:38:52,,,,,,,,,,High Priority,1,2018-10-11 13:39:35,Essential,2,2018-10-11 13:39:42,Low Priority,4,2018-10-11 13:39:52,Not a Priority,6,2018-10-11 13:40:00,Medium Priority,5,2018-10-11 13:39:54,,,,,,,,,,,,,,,,2018-10-11 13:40:00,2 - 5 years,2018-10-11 13:40:08,R,,,,,,,,2018-10-11 13:40:13,Data Scientist,2018-10-11 13:40:18,2 - 3,2018-10-11 13:40:27,Native,2018-10-11 13:40:35,Female,2018-10-11 13:40:40,25 - 34,2018-10-11 13:40:44
PC,FALSE,2018-10-11 13:35:43,,0,0,2018-10-11 13:35:54,,,For a training / class that I took,,2018-10-11 13:36:04,Not sure,2018-10-11 13:36:37,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:36:53,,,9,9,2018-10-11 13:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,TRUE,2018-10-11 13:35:58,2018-10-11 13:39:52,168,193,2018-10-11 13:36:02,For personal work and/or research use,,,,2018-10-11 13:36:09,Not sure,2018-10-11 13:36:18,I saw a recommendation for the package,2018-10-11 13:36:34,,8,,8,2018-10-11 13:38:25,Low Priority,12,2018-10-11 13:39:13,Low Priority,10,2018-10-11 13:39:09,Essential,1,2018-10-11 13:38:43,Not a Priority,5,2018-10-11 13:38:57,Not a Priority,9,2018-10-11 13:39:06,Not a Priority,8,2018-10-11 13:39:05,Not a Priority,11,2018-10-11 13:39:11,Low Priority,6,2018-10-11 13:38:59,,,,Low Priority,2,2018-10-11 13:38:51,Not a Priority,7,2018-10-11 13:39:02,Not a Priority,4,2018-10-11 13:38:56,Not a Priority,3,2018-10-11 13:38:53,2018-10-11 13:39:14,6 - 8 years,2018-10-11 13:39:22,R,,,,,,,,2018-10-11 13:39:27,,2018-10-11 13:39:28,7 - 10,2018-10-11 13:39:36,Native,2018-10-11 13:39:40,,2018-10-11 13:39:44,35 - 44,2018-10-11 13:39:51
PC,TRUE,2018-10-11 13:35:59,2018-10-11 13:38:59,1,194,2018-10-11 13:36:07,,,,For course I taught,2018-10-11 13:36:39,No,2018-10-11 13:36:44,Chose the package to be compatible with other packages in my project,2018-10-11 13:37:07,,,10,10,2018-10-11 13:37:13,,,,,,,High Priority,2,2018-10-11 13:37:40,,,,High Priority,4,2018-10-11 13:37:56,Essential,5,2018-10-11 13:38:01,,,,,,,High Priority,1,2018-10-11 13:37:34,Medium Priority,3,2018-10-11 13:37:44,,,,,,,,,,2018-10-11 13:38:01,Less than 2 years,2018-10-11 13:38:13,R,,,Python,,,,,2018-10-11 13:38:19,University Professor,2018-10-11 13:38:32,7 - 10,2018-10-11 13:38:42,Native,2018-10-11 13:38:48,Male,2018-10-11 13:38:52,35 - 44,2018-10-11 13:38:58
PC,FALSE,2018-10-11 13:36:01,,24,195,2018-10-11 13:36:06,For personal work and/or research use,,For a training / class that I took,,2018-10-11 13:36:16,No,2018-10-11 13:36:24,I saw a recommendation for the package,2018-10-11 13:36:43,6,,,6,2018-10-11 13:36:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone,TRUE,2018-10-11 13:36:05,2018-10-11 13:39:53,24,196,2018-10-11 13:36:16,,"For a wider audience, such as developers of other packages or other software",,,2018-10-11 13:37:20,No,2018-10-11 13:37:28,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:38:02,,,9,9,2018-10-11 13:38:08,High Priority,2,2018-10-11 13:38:29,,,,,,,,,,Medium Priority,3,2018-10-11 13:38:45,,,,,,,,,,Medium Priority,4,2018-10-11 13:38:52,High Priority,1,2018-10-11 13:38:23,,,,,,,,,,2018-10-11 13:38:53,2 - 5 years,2018-10-11 13:39:01,R,,,,,,,,2018-10-11 13:39:10,Graduate student,2018-10-11 13:39:27,2 - 3,2018-10-11 13:39:37,Native,2018-10-11 13:39:42,Male,2018-10-11 13:39:46,25 - 34,2018-10-11 13:39:52
PC,FALSE,2018-10-11 13:36:12,,1,197,2018-10-11 13:36:20,,,,Other,2018-10-11 13:36:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone,TRUE,2018-10-11 13:36:14,2018-10-11 13:39:54,168,198,2018-10-11 13:36:47,For personal work and/or research use,"For a wider audience, such as developers of other packages or other software",,,2018-10-11 13:37:09,No,2018-10-11 13:37:15,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:37:37,,8,,8,2018-10-11 13:37:47,Essential,8,2018-10-11 13:38:33,High Priority,7,2018-10-11 13:38:29,Medium Priority,13,2018-10-11 13:38:51,Not a Priority,2,2018-10-11 13:38:11,High Priority,6,2018-10-11 13:38:24,Medium Priority,4,2018-10-11 13:38:19,Not a Priority,5,2018-10-11 13:38:21,High Priority,9,2018-10-11 13:38:36,Not a Priority,12,2018-10-11 13:38:48,High Priority,1,2018-10-11 13:38:05,Medium Priority,10,2018-10-11 13:38:40,Not a Priority,11,2018-10-11 13:38:43,Not a Priority,3,2018-10-11 13:38:14,2018-10-11 13:38:51,9 - 12 years,2018-10-11 13:39:02,R,C/C++,,,,,,,2018-10-11 13:39:08,Software Engineer,2018-10-11 13:39:17,11 - 15,2018-10-11 13:39:28,Not native - sufficient working proficiency,2018-10-11 13:39:42,Male,2018-10-11 13:39:47,35 - 44,2018-10-11 13:39:52
Phone,FALSE,2018-10-11 13:36:19,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,TRUE,2018-10-11 13:36:29,2018-10-11 13:39:23,24,200,2018-10-11 13:36:41,For personal work and/or research use,,,,2018-10-11 13:36:51,No,2018-10-11 13:37:08,It was a package of packages to make sure everything was in the right place to re-run the analysis and ensure reproducibility,2018-10-11 13:37:51,4,,,4,2018-10-11 13:37:58,,,,,,,,,,,,,,,,Essential,1,2018-10-11 13:38:20,,,,Medium Priority,4,2018-10-11 13:38:36,High Priority,3,2018-10-11 13:38:21,Medium Priority,5,2018-10-11 13:38:39,,,,,,,,,,2018-10-11 13:38:44,Less than 2 years,2018-10-11 13:38:50,R,,,,,,,,2018-10-11 13:38:55,Ecologist,2018-10-11 13:39:03,1,2018-10-11 13:39:09,Native,2018-10-11 13:39:13,Female,2018-10-11 13:39:17,35 - 44,2018-10-11 13:39:22
Phone,TRUE,2018-10-11 13:36:47,2018-10-11 13:38:58,0,0,2018-10-11 13:36:56,,,,,2018-10-11 13:36:57,No,2018-10-11 13:37:07,Chose the package to be compatible with other packages in my project,2018-10-11 13:37:21,,,9,9,2018-10-11 13:37:27,Medium Priority,8,2018-10-11 13:37:57,Not a Priority,11,2018-10-11 13:38:07,Not a Priority,10,2018-10-11 13:38:02,Not a Priority,13,2018-10-11 13:38:12,Medium Priority,4,2018-10-11 13:37:46,High Priority,5,2018-10-11 13:37:49,Not a Priority,3,2018-10-11 13:37:43,Medium Priority,7,2018-10-11 13:37:54,Medium Priority,1,2018-10-11 13:37:38,Not a Priority,12,2018-10-11 13:38:08,Not a Priority,2,2018-10-11 13:37:40,Not a Priority,6,2018-10-11 13:37:51,Not a Priority,9,2018-10-11 13:37:59,2018-10-11 13:38:12,2 - 5 years,2018-10-11 13:38:21,R,,,Python,,,,,2018-10-11 13:38:28,Data Scientist,2018-10-11 13:38:33,11 - 15,2018-10-11 13:38:40,Not native - full working proficiency,2018-10-11 13:38:48,Male,2018-10-11 13:38:52,35 - 44,2018-10-11 13:38:57
